titulo,coordenador,categoria,situacao,ano,data_de_inicio,data_de_termino,unidade
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ADRIANA DE MORAES COSTA CRESPO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ADRIANA DE MORAES COSTA CRESPO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ALVERNE PASSOS BARBOSA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ALVERNE PASSOS BARBOSA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ALVERNE PASSOS BARBOSA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ANA LUCIA OSORIO MAROCCOLO DE SOUSA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ANA LUCIA OSORIO MAROCCOLO DE SOUSA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ANA LUCIA OSORIO MAROCCOLO DE SOUSA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ANA MARIA DE OLIVEIRA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ANA MARIA DE OLIVEIRA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,ANA MARIA DE OLIVEIRA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,CAMILA FREIRE ARAUJO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,CAMILA FREIRE ARAUJO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,CAMILA FREIRE ARAUJO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,JÉSSICA YONARA DE SOUZA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,JÉSSICA YONARA DE SOUZA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,JÉSSICA YONARA DE SOUZA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,LUIZ CARLOS SILVA SOUZA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,LUIZ CARLOS SILVA SOUZA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,LUIZ CARLOS SILVA SOUZA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,MOARA ALVES SANTA BÁRBARA BORGES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,MOARA ALVES SANTA BÁRBARA BORGES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,MOARA ALVES SANTA BÁRBARA BORGES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,NADYA MACIEL BOMTEMPO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,NADYA MACIEL BOMTEMPO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,NADYA MACIEL BOMTEMPO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,YVES MAURO FERNANDES TERNES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,YVES MAURO FERNANDES TERNES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
LAINFi:  LIGANTES PROMOVENDO SAUDE E EDUCAÇÃO -2025-2026,YVES MAURO FERNANDES TERNES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,EDEMILSON CARDOSO DA CONCEICAO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,ELIANE SAYURI MIYAGI OKADA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,FRANCISCO JOSE QUARESMA DE FIGUEIREDO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,GEORGE OLIVEIRA SILVA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,IANA MUNDIM DE OLIVEIRA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,JAQUELINE EVANGELISTA DA COSTA BEZERRA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,KEMILY ANDRADE DIAS,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,LUIZ CARLOS DA CUNHA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,MARIA APARECIDA LOPES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,MARIA DAS GRACAS DE SOUSA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,MICHELE DIAS DA SILVA OLIVEIRA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,NATÁLIA DEL' ANGELO AREDES,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,NILZA ALVES MARQUES ALMEIDA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,SELMA RODRIGUES ALVES MONTEFUSCO,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
Ambulatório de Práticas Integrativas em Saúde (AMBPIS) da Faculdade de Enfermagem da UFG,THAIS DE OLIVEIRA CARNEIRO ALMEIDA,PROJETO,EM EXECUÇÃO,2025,2025-08-01,2026-07-31,FACULDADE DE ENFERMAGEM
LIGA ACADÊMICA DE EDUCAÇÃO EM SAÚDE - 2025/2026 ,GEISA NUNES DE SOUZA MOZZER,PROJETO,EM EXECUÇÃO,2025,2025-09-04,2026-12-31,INSTITUTO DE CIENCIAS BIOLOGICAS
LIGA ACADÊMICA DE EDUCAÇÃO EM SAÚDE - 2025/2026 ,MAISA MIRALVA DA SILVA,PROJETO,EM EXECUÇÃO,2025,2025-09-04,2026-12-31,INSTITUTO DE CIENCIAS BIOLOGICAS
Cine Cajazeira,SILVIO CARLOS MARINHO RIBEIRO,PROJETO,EM EXECUÇÃO,2025,2025-11-03,2026-08-15,UNID. ACAD. ESP/CIENCIAS HUMANAS - GOI
Cursinho Popular Comunidade FazArte,CHAIANE DE MEDEIROS ROSA,PROJETO,EM EXECUÇÃO,2025,2025-12-08,2027-12-31,FACULDADE DE EDUCAÇÃO
Cursinho Popular Comunidade FazArte,FABIANO FORTUNATO TEIXEIRA DOS SANTOS,PROJETO,EM EXECUÇÃO,2025,2025-12-08,2027-12-31,FACULDADE DE EDUCAÇÃO
Olimpíada de Matemática do Estado de Goiás - Edições XXXIV e XXXV,GREGORY DURAN CUNHA,PROJETO,EM EXECUÇÃO,2025,2026-02-23,2027-04-01,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA
"Jornalismo de dados, checagem de fatos e combate à desinformação - Observatório Jornalístico Universitário (OJU)",LEONARDO CESAR PEREIRA,PROJETO,EM EXECUÇÃO,2025,2026-03-10,2026-07-31,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO
