coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
MARIA CLARET COSTA MONTEIRO HADLER,FACULDADE DE NUTRIÇÃO,EM ANDAMENTO,PI06818-2023,18/03/2023,21/12/2027,Ciências da Saúde,Nutrição,Análise Nutricional de População,Comparação do NutriSUS com a suplementação medicamentosa em crianças na educação infantil: um ensaio clínico randomizado
LIVIA THAIS MOREIRA DE FIGUEIREDO,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06819-2024,01/04/2023,31/03/2028,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Manejo Florestal,Manejo de Plantios Comerciais no estado de Goiás 
DANIEL GRAZIANI,HOSPITAL VETERINARIO,EM ANDAMENTO (Documentos Conferidos),PI06820-2023,02/05/2023,01/05/2025,Ciências Biológicas,Fisiologia,Fisiologia Geral,"Avaliação dos efeitos de seis diferentes moléculas de elagitaninos antioxidantes, isolados de plantas com ampla distribuição no território nacional, no estresse oxidativo induzido por peróxido de hidrogênio e por isquemia e reperfusão em células endoteliais humanas."
PEDRO VALE DE AZEVEDO BRITO,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO (Documentos Conferidos),PI06822-2023,01/08/2023,31/07/2025,Ciências Biológicas,Zoologia,,Utilização de ninhos-iscas para captura de enxames de Meliponini no Câmpus da Universidade Federal de Goiás.
ELISA SOARES ROCHA BARBOSA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO,PI06824-2023,02/01/2023,23/12/2027,Ciências Exatas e da Terra,Geociências,Geologia,BENEFICIAMENTO DO POTÁSSIO PARA USO AGRONÔMICO: CARACTERIZAÇÃO DE AGROMINERAIS SILICÁTICOS POTENCIAIS NO SUDOESTE GOIANO E REFINAMENTO DO ZONEAMENTO AGROGEOLÓGICO REGIONAL
RAFAEL BITTENCOURT RODRIGUES LOPES,FACULDADE DE CIÊNCIAS SOCIAIS,EM ANDAMENTO,PI06825-2023,01/02/2023,31/12/2024,Ciências Humanas,Ciência Política,Política Internacional,"Relações Internacionais a partir do Sul Global: cooperação, desenvolvimento e teoria através de novas lentes"
SUMBAL SABA,INSTITUTO DE QUÍMICA,EM ANDAMENTO (Documentos Conferidos),PI06828-2023,17/04/2023,03/04/2026,Ciências Exatas e da Terra,Química,Química Orgânica,SÍNTESE DE SELANIL-(HETERO)ARENOS VIA SELENILAÇÃO DA  LIGAÇÃO C(SP2)-H PROMOVIDA POR ÁCIDO TRICLOROISOCIANÚRICO 
ANTONIO DA SILVA MENEZES JUNIOR,FACULDADE DE MEDICINA,EM ANDAMENTO,PI06829-2023,02/03/2023,30/09/2026,Ciências da Saúde,Medicina,Clínica Médica,EFICÁCIA E SEGURANÇA DO CARDIOVERSOR-DESFIBRILADOR IMPLANTÁVEL EM PACIENTES COM CARDIOMIOPATIA HIPERTRÓFICA OBSTRUTIVA- UPDATE DE REVISÃO SISTEMÁTICA E METANÁLISE.  
GINO BERTOLLUCCI COLHERINHAS,"ESCOLA DE ENGENHARIA ELÉTRICA, MECÂNICA E DE COMPUTAÇÃO",EM ANDAMENTO (Documentos Conferidos),PI06831-2023,03/04/2023,31/12/2026,Engenharias,Engenharia Mecânica,Projetos de Máquinas,Desenvolvimento de equipamento para parques de diversão para pessoas com deficiência
CARLOS ROBERTO SETTE JUNIOR,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06832-2023,01/05/2023,31/03/2026,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Tecnologia e Utilização de Produtos Florestais,Clones de Eucalyptus spp. para uso múltiplo da madeira em sistemas integrados de produção
JOÃO PAULO SOUZA SILVA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06833-2023,03/04/2023,31/12/2027,Engenharias,Engenharia de Transportes,,Como as metodologias baseadas na prática vivencial e no uso intensivo de tecnologias são utilizadas  para a construção de conhecimento nos cursos de Engenharia da UFG
RAFAEL TASSINARI RESENDE,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06834-2023,01/04/2023,31/12/2028,Ciências Agrárias,Agronomia,Fitotecnia,TheCrop - Precision Breeding
PRISCILA RENATA GIMENEZ,FACULDADE DE LETRAS,EM ANDAMENTO (Documentos Conferidos),PI06835-2023,01/07/2023,31/08/2028,"Lingüística, Letras e Artes",Letras,Literatura Comparada,"Literatura e imprensa: escritas, traduções e representações"
CRISTIAN ROGERIO FOGUESATTO,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06837-2023,01/01/2023,31/12/2024,Ciências Sociais Aplicadas,Administração,,ANALISANDO A INFLUÊNCIA DAS MÍDIAS SOCIAIS E DAS CAPACIDADES DIN MICAS NO DESEMPENHO DA INOVAÇÃO DAS STARTUPS DO AGRONEGÓCIO
JASCIELI CARLA BORTOLINI,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO,PI06838-2023,01/05/2023,01/05/2027,Ciências Biológicas,Botânica,,Integridade ambiental em lagos urbanos e em áreas adjacentes: a biodiversidade como ferramenta de avaliação
FERNANDO LACERDA JUNIOR,FACULDADE DE EDUCAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06843-2023,01/05/2023,30/04/2027,Ciências Humanas,Psicologia,Fundamentos e Medidas da Psicologia,A Psicologia Crítica no Brasil: investigando sua história e situação atual
FERNANDA GOMES DE PAULA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO,PI06845-2023,20/04/2023,31/10/2024,Ciências Agrárias,Zootecnia,Produção Animal,Densidade populacional de tilápia do Nilo integrada ao cultivo de alface baby leaf em sistema aquapônico adaptado
MIRIAM SUZANE VIDOTTI,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06849-2023,17/04/2023,17/04/2026,Ciências Agrárias,Agronomia,Fitotecnia,Caracterização de coleção de germoplasma e melhoramento genético do jatobá-do-cerrado (Hymenaea stigonocarpa)
MARIA ASSIMA BITTAR GONCALVES,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06851-2023,17/04/2023,17/04/2025,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Engenharia de Alimentos,Elaboração de filmes comestíveis para serem aplicados em frutas e hortaliças.
MARCUS CARRIAO DOS SANTOS,INSTITUTO DE FÍSICA,EM ANDAMENTO (Documentos Conferidos),PI06852-2023,11/04/2023,31/08/2025,Ciências Exatas e da Terra,Física,,"Pesquisa, Desenvolvimento e Inovação no Pátio da Ciência"
MARCUS CARRIAO DOS SANTOS,INSTITUTO DE FÍSICA,EM ANDAMENTO (Documentos Conferidos),PI06853-2023,15/03/2023,31/08/2025,Ciências Exatas e da Terra,Física,Física Geral,Experimentos e análise de dados em Física Geral
ALISSON ASSIS CARDOSO,"ESCOLA DE ENGENHARIA ELÉTRICA, MECÂNICA E DE COMPUTAÇÃO",EM ANDAMENTO (Documentos Conferidos),PI06855-2023,24/04/2023,31/12/2027,Engenharias,Engenharia Elétrica,,"Aprendizado de Máquina e inteligência artificial aplicados em tarefas de controle, identificação de sistemas e visão computacional"
TANYA MARQUES CARDOSO,ESCOLA DE MÚSICA E ARTES CÊNICAS,EM ANDAMENTO (Documentos Conferidos),PI06861-2023,17/04/2023,01/01/2028,Ciências da Saúde,Saúde Coletiva,Saúde Pública,Musicoterapia Psicossocial: do campo transdisciplinar da Saúde Mental Coletiva ao núcleo de saber musicoterapêutico
NORA KATIA SAAVEDRA DEL AGUILA HOFFMANN,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,EM ANDAMENTO (Documentos Conferidos),PI06863-2023,17/04/2023,17/04/2028,Engenharias,Engenharia Sanitária,Tratamento de Águas de Abastecimento e Residuárias,Processos de tratamento biológico de efluentes visando a produção de biogás
LAWRENCE GONZAGA LOPES,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06864-2023,01/05/2023,31/12/2025,Ciências da Saúde,Odontologia,Clínica Odontológica,MICRODUREZA KNOOP DE RESINA COMPOSTA PRÉ-AQUECIDA UTILIZADA COMO AGENTE DE CIMENTAÇÃO EM ONLAY FOTOPOLIMERIZADA SOB DIFERENTES PROTOCOLOS
BRUNA NUNES DA COSTA TRIANA,FACULDADE DE CIÊNCIAS SOCIAIS,EM ANDAMENTO (Documentos Conferidos),PI06867-2023,14/04/2023,31/03/2025,Ciências Humanas,Antropologia,Teoria Antropológica,"DESCOLONIZANDO A ANTROPOLOGIA: POSSIBILIDADES DE DESCENTRAMENTO DE HISTÓRIAS, CONCEITOS E CONTRIBUIÇÕES TEÓRICAS DESDE O SUL"
EMANUEL JEREMIAS RAMALHO DA SILVA,FACULDADE DE DIREITO,EM ANDAMENTO (Documentos Conferidos),PI06870-2023,17/05/2023,17/05/2025,Ciências Sociais Aplicadas,Direito,Direitos Especiais,DISCURSO JURÍDICO E PRÁXIS SOCIAL: o Direito e as políticas públicas
ANDRE CORREA AMARAL,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,EM ANDAMENTO (Documentos Conferidos),PI06871-2023,01/06/2023,31/12/2025,Ciências Biológicas,Microbiologia,Microbiologia Aplicada,Avaliação de Galleria mellonella na biodegradação de derivados de plásticos.
AMORACYR JOSE COSTA NUNEZ,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06872-2023,30/04/2023,31/12/2024,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Suplementação na recria e períodos de adaptação ao confinamento para novilhas Nelore
AMORACYR JOSE COSTA NUNEZ,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06873-2023,30/04/2023,31/12/2024,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Suplementação na recria e períodos de adaptação ao confinamento para vacas Nelore de descarte
MARCIA MARIA DOS ANJOS MASCARENHA,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,EM ANDAMENTO,PI06877-2023,03/04/2023,31/03/2028,Engenharias,Engenharia Civil,Geotécnica,Avaliação da influência da adição de materiais alternativos nos parâmetros geotécnicos de um solo empregado como camada de cobertura de um aterro de resíduos sólidos
MARCUS FRAGA VIEIRA,FACULDADE DE EDUCAÇÃO FISICA E DANÇA,EM ANDAMENTO (Documentos Conferidos),PI06878-2023,24/04/2023,23/04/2026,Engenharias,Engenharia Biomédica,Bioengenharia,Análise da influência das características do sinal no desempenho de diferentes algoritmos de extração da dimensão fractal em dados biomecânicos da marcha e postura humana
JOAO FELEMA,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI06885-2023,18/04/2023,18/04/2025,Ciências Sociais Aplicadas,Economia,Economias Agrária e dos Recursos Naturais,Produtividade da terra e do trabalho na agropecuária de Goiás: diferenças e desempenho a nível regional 
SYMONE GOMES SOARES ALCALA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06887-2023,01/09/2023,31/12/2027,Engenharias,Engenharia de Produção,,Desenvolvimento de Tecnologias de Inteligência Artificial Aplicadas na Engenharia de Produção
CASSIA ALESSANDRA MARQUEZIN,INSTITUTO DE FÍSICA,EM ANDAMENTO,PI06892-2023,19/04/2023,19/04/2028,Ciências Exatas e da Terra,Física,Física da Matéria Condensada,Triptofano/timina: interação com modelos de biomembrana
MAURO MACHADO DO PRADO,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06894-2023,01/09/2023,01/09/2024,Ciências da Saúde,Odontologia,Clínica Odontológica,COMUNICAÇÃO DE MÁ NOTÍCIA EM ODONTOLOGIA.
MARA RUBIA MARQUES,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO (Documentos Conferidos),PI06897-2023,01/08/2023,30/07/2025,Ciências Biológicas,Morfologia,Histologia,Potencial protetivo da Crisina no tecido ósseo de camundongos após a ingestão de cloreto de alumínio. 
JOSE HENRIQUE STRINGHINI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06904-2023,09/03/2023,31/08/2027,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Avaliação histológica e epigenética de embriões e pintos de reprodutoras pesadas suplementadas com selenito de sódio ou selenometionina na dieta
JOSE HENRIQUE STRINGHINI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO (Documentos Conferidos),PI06906-2023,01/04/2023,31/03/2025,Ciências Agrárias,Zootecnia,Produção Animal,Avaliação da Transluscência de ovos comerciais e incubáveis
PEDRO VALE DE AZEVEDO BRITO,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO (Documentos Conferidos),PI06907-2023,01/08/2023,31/07/2027,Ciências Biológicas,Morfologia,Citologia e Biologia Celular,O efeito dos agrotóxicos sobre o desenvolvimento do sistema nervoso das abelhas sem ferrão (Apidae: Meliponini)
ERIKA MORAIS MARTINS COELHO,INSTITUTO DE INFORMÁTICA,EM ANDAMENTO (Documentos Conferidos),PI06916-2023,01/05/2023,30/04/2026,Ciências Exatas e da Terra,Ciência da Computação,Teoria da Computação,Aspectos Computacionais Teóricos de alguns Parâmetros de Convexidade
SAMUEL JOSE GILBERT DE JESUS,FACULDADE DE ARTES VISUAIS,EM ANDAMENTO (Documentos Conferidos),PI06917-2023,02/05/2023,30/04/2025,"Lingüística, Letras e Artes",Artes,Fotografia,Pesquisa em acervos e coleções fotográficas: especificidades e desafios. Estudo de caso do Museu da Imagem e do Som do Estado de Goiàs
GERSON DOS SANTOS LISBOA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06918-2023,01/01/2023,31/12/2027,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Silvicultura,"Inventário da Arborização Urbana da Cidade de Goiânia, GO, Brasil "
VALERIA QUINTANA CAVICCHIOLI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO,PI06922-2023,02/05/2023,30/09/2025,Ciências Agrárias,Medicina Veterinária,Inspeção de Produtos de Origem Animal,"Avaliação da Qualidade Microbiológica de Queijos comercializados em Feiras Livres de Goiânia, Goiás"
DEBORA NOGUEIRA LOPES,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06923-2023,08/05/2023,31/12/2027,Ciências Exatas e da Terra,Geociências,,Aplicando conceitos de geoética nos estudos de vulnerabilidade em Aparecida de Goiânia - GO
GERSON DOS SANTOS LISBOA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06925-2023,01/01/2023,31/12/2032,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Manejo Florestal,"Modelagem do Crescimento e da Produção em Remanescentes Florestais no Cerrado, GO, Brasil"
CLAUDIO ANDRE BARBOSA DE LIRA,FACULDADE DE EDUCAÇÃO FISICA E DANÇA,EM ANDAMENTO (Documentos Conferidos),PI06931-2023,05/06/2023,30/07/2027,Ciências Biológicas,Fisiologia,Fisiologia do Esforço,COMPARAÇÃO DO EFEITO AGUDO DE UM PERÍODO SEM USO DE SMARTPHONE COM  UM PERÍODO COM USO DE SMARTPHONE E DO EXERCÍCIO AERÓBIO CONTÍNUO SOBRE OS NÍVEIS DE ANSIEDADE-ESTADO E RAIVA-ESTADO  
ELENA ORTIZ PREUSS,FACULDADE DE LETRAS,EM ANDAMENTO (Documentos Conferidos),PI06936-2023,01/03/2023,28/02/2026,"Lingüística, Letras e Artes",Lingüística,Psicolingüística,Processamento de frases com o verbo gustar por brasileiros aprendizes de espanhol como L2
RICARDO NEVES MARRETO,FACULDADE DE FARMÁCIA,EM ANDAMENTO (Documentos Conferidos),PI06937-2023,01/06/2023,01/06/2026,Ciências da Saúde,Farmácia,Farmacotecnia,Formulações semissólidas contendo óleo fixo de pequi (Caryocar coriaceum) e vitamina D3 para uso tópico como antiinflamatório
FERNANDA GOMES DE PAULA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO,PI06939-2023,08/05/2023,30/11/2024,Ciências Agrárias,Recursos Pesqueiros e Engenharia de Pesca,Recursos Pesqueiros de Águas Interiores,Reconstrução da Estatística Pesqueira no Estado de Goiás
CANDICE MARQUES DE LIMA,FACULDADE DE LETRAS,EM ANDAMENTO (Documentos Conferidos),PI06940-2023,28/04/2023,28/05/2026,Ciências Humanas,Educação,Tópicos Específicos de Educação,FORMAÇÃO DE PROFESSORES E A CONSTITUIÇÃO DO PROFESSOR INCLUSIVO
LANA DE SOUZA CAVALCANTI,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,EM ANDAMENTO (Documentos Conferidos),PI06941-2023,15/03/2023,30/12/2026,Ciências Humanas,Geografia,Geografia Humana,Geografia na escola como objeto do pensamento: o papel da relação de professores e estudantes da escola básica com os conhecimentos geográficos nos processos de aprendizagem 
SYLVIA ELAINE MARQUES DE FARIAS,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,EM ANDAMENTO (Documentos Conferidos),PI06942-2023,20/05/2023,28/08/2026,Ciências Exatas e da Terra,Geociências,Geografia Física,ASPECTOS CLIMATOLÓGICOS DO BRASIL CENTRAL E CARACTERÍSTICAS PALEOCLIMÁTICAS E FUTURAS. 
MARINALDO DIVINO RIBEIRO,PRÓ-REITORIA DE PESQUISA E INOVAÇÃO,EM ANDAMENTO,PI06943-2023,01/08/2023,31/12/2025,Ciências Agrárias,Zootecnia,Nutrição e Alimentação Animal,Cinética de hidratação de coprodutos para alimentação de ruminantes
MARINALDO DIVINO RIBEIRO,PRÓ-REITORIA DE PESQUISA E INOVAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06947-2023,01/08/2023,31/12/2025,Ciências Agrárias,Zootecnia,Pastagem e Forragicultura,Inclusão da polpa de baru (Dipteyx alata) em silagem de capim Panicum mombaça cv. mombaça
THIAGO MONTENEGRO GOES,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,EM ANDAMENTO (Documentos Conferidos),PI06948-2023,01/05/2023,31/12/2025,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Tecnologia de Arquitetura e Urbanismo,Ferramentas de Análise de Conforto Ambiental de Baixo Custo 
LUCIO FLAVIO DE SANTANA GIMENES,FACULDADE DE EDUCAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06949-2023,01/09/2023,31/08/2024,Ciências Humanas,Psicologia,Psicologia Social,DO CAPITALISMO DA EMOÇÃO À INFOCRACIA: UMA CARTOGRAFIA DAS SUBJETIVIDADES NA OBRA DE BYUNG-CHUL HAN
SILVANA BELINE TAVARES,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,EM ANDAMENTO (Documentos Conferidos),PI06950-2023,05/05/2023,31/12/2025,Ciências Sociais Aplicadas,Direito,Direitos Especiais,"Cine GD: Cinema, Gênero e Direito"
TARSILLA COUTO DE BRITO,FACULDADE DE LETRAS,EM ANDAMENTO (Documentos Conferidos),PI06952-2023,05/05/2023,31/05/2028,"Lingüística, Letras e Artes",Letras,Literatura Comparada,A literatura escrita por mulheres na América Latina
JOFFRE REZENDE FILHO,FACULDADE DE MEDICINA,EM ANDAMENTO (Documentos Conferidos),PI06955-2023,01/06/2023,31/12/2024,Ciências da Saúde,Medicina,Clínica Médica,AVALIAÇÃO DA TAXA DE COMPARECIMENTO E SEU IMPACTO NA EFETIVIDADE DO SERVIÇO DE ENDOSCOPIA DO HC-UFG
JORDAO HORTA NUNES,FACULDADE DE CIÊNCIAS SOCIAIS,EM ANDAMENTO (Documentos Conferidos),PI06956-2023,01/09/2023,31/08/2025,Ciências Humanas,Sociologia,Outras Sociologias Específicas,Trabalho e redes sociais
INTI DORACI CAVALCANTI MONTANO,INSTITUTO DE QUÍMICA,EM ANDAMENTO (Documentos Conferidos),PI06957-2023,15/05/2023,02/05/2027,Engenharias,Engenharia Química,Operações Industriais e Equipamentos para Engenharia Química,PROCESSAMENTO DE GLICEROL BRUTO NO CONTEXTO DA INDÚSTRIA 4.0  
FERNANDA PAULA YAMAMOTO SILVA,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06959-2023,01/06/2023,31/12/2025,Ciências da Saúde,Odontologia,,ALTERAÇÕES NA REVISÃO DO PLANO DE TRATAMENTO VIRTUAL SEM E COM INTEGRAÇÃO DE DADOS DA TOMOGRAFIA COMPUTADORIZADA DE FEIXE CÔNICO AO CLINCHECK PRO®
INTI DORACI CAVALCANTI MONTANO,INSTITUTO DE QUÍMICA,EM ANDAMENTO (Documentos Conferidos),PI06961-2023,15/05/2023,31/12/2025,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química,Modelagem e simulação do processo de produção de etanol 2G por co-cultura de microrganismos
RENATA BOTELHO DUTRA,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,EM ANDAMENTO (Documentos Conferidos),PI06967-2023,04/05/2023,05/05/2025,Ciências Sociais Aplicadas,Direito,Direito Público,"AMOR OU GOLPE? O ESTELIONATO SENTIMENTAL NA ERA DO ""AMOR LÍQUIDO"""
MARIA DO ROSARIO FERRAZ ROBERTI,FACULDADE DE MEDICINA,EM ANDAMENTO (Documentos Conferidos),PI06969-2023,01/08/2023,31/10/2024,Ciências da Saúde,Medicina,Clínica Médica,SANGRAMENTO GESTACIONAL E PUERPERAL E HEMOFILIA A ADQUIRIDA (PROJETO NEBULA): REVISÃO SISTEMÁTICA SOBRE TRATAMENTOS E DESFECHOS DA HEMOFILIA A ADQUIRIDA EM MULHERES NOS PERÍODOS GESTACIONAL E PUERPERAL.
NAIARA CAIXETA DA SILVA,ESCOLA DE VETERINÁRIA E ZOOTECNIA,EM ANDAMENTO,PI06971-2023,03/05/2023,30/11/2027,Ciências Agrárias,Zootecnia,Pastagem e Forragicultura,Avaliação de híbridos de milho em diferentes densidades populacionais para produção de silagem de milho planta inteira e de snaplage
CRISTIANE LOPES SIMAO LEMOS,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO (Documentos Conferidos),PI06974-2023,01/05/2023,30/08/2030,Ciências Humanas,Educação,Fundamentos da Educação,Análise dos fundamentos pedagógicos da competência estrutural em saúde
ANGELA FERREIRA LOPES,FACULDADE DE FARMÁCIA,EM ANDAMENTO (Documentos Conferidos),PI06976-2023,01/06/2023,31/12/2026,Ciências da Saúde,Farmácia,,SERVIÇOS FARMACÊUTICOS EM NUTRIÇÃO PARENTERAL: REVISÃO SISTEMATIZADA
CRISTIANE LOPES SIMAO LEMOS,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO (Documentos Conferidos),PI06977-2023,04/05/2023,30/12/2028,Ciências Humanas,Educação,Fundamentos da Educação,A FORMAÇÃO DO ACADÊMICO DE ODONTOLOGIA NA PERSPECTIVA DA SAÚDE COLETIVA A FORMAÇÃO DO ACADÊMICO DE ODONTOLOGIA NA PERSPECTIVA DA SAÚDE COLETIVA A FORMAÇÃO ACADÊMICA NOS CURSOS DE GRADUAÇÃO EM ODONTOLOGIA E SUAS RELAÇÕES COM A SAÚDE COLETIVA 
RUBEM BORGES TEIXEIRA RAMOS,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06981-2023,02/01/2023,31/12/2024,Ciências Sociais Aplicadas,Ciência da Informação,Teoria da Informação,APROPRIAÇÃO DA INFORMAÇÃO POR JOGADORES DE RPG
ROBERVALDO LINHARES ROSA,ESCOLA DE MÚSICA E ARTES CÊNICAS,EM ANDAMENTO (Documentos Conferidos),PI06983-2023,04/05/2023,04/05/2028,"Lingüística, Letras e Artes",Artes,Música,CANÇÕES DE ELIS
DIJACI DAVID DE OLIVEIRA,FACULDADE DE CIÊNCIAS SOCIAIS,EM ANDAMENTO (Documentos Conferidos),PI06987-2023,03/07/2023,31/07/2025,Ciências Humanas,Sociologia,Outras Sociologias Específicas,Dicionário da Violência Policial
ADOLFO FRANCO JUNIOR,INSTITUTO DE FÍSICA,EM ANDAMENTO,PI06989-2023,18/01/2023,31/01/2028,Ciências Exatas e da Terra,Física,Física da Matéria Condensada,INCT de Spintrônica e Nanoestruturas Magnéticas Avançadas (INCT-SpinNanoMag)
CLAUDIO RODRIGUES LELES,FACULDADE DE ODONTOLOGIA,EM ANDAMENTO,PI06990-2023,05/05/2023,31/08/2024,Ciências da Saúde,Odontologia,Clínica Odontológica,Efeitos da mudança de resposta (response shift) na qualidade de vida e satisfação de pacientes desdentados totais após a instalação de overdenture mandibular
THAIS VIEIRA DE PAULA,FACULDADE DE CIÊNCIAS SOCIAIS,EM ANDAMENTO (Documentos Conferidos),PI06992-2023,05/06/2023,05/09/2024,Ciências Humanas,Ciência Política,Comportamento Político,MULHERES NEOPENTECOSTAIS NO BRASIL: A FORMAÇÃO DE UMA NOVA RACIONALIDADE POLÍTICA?
FERNANDA SOUSA OLIVEIRA,FACULDADE DE DIREITO,EM ANDAMENTO (Documentos Conferidos),PI06998-2023,07/05/2023,07/05/2025,Ciências Sociais Aplicadas,Direito,Direito Privado,Estudos sobre os conflitos entre direitos da personalidade e liberdade de expressão desde a dinâmica da plataformização da sociedade.
THALES DOMINGOS ARANTES,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,EM ANDAMENTO,PI07001-2023,12/05/2023,12/05/2025,Ciências Biológicas,Microbiologia,Microbiologia Aplicada,"Diagnóstico, georreferenciamento e genotipagem de fungos do gênero Sporothrix associados a casos de esporotricose de perfil zoonótico no estado de Goiás."
RAFAELLA RESENDE ANDRADE,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI07004-2023,10/05/2023,09/05/2025,Ciências Agrárias,Engenharia Agrícola,Construções Rurais e Ambiência,Ambiência na produção intensiva de leite em instalações Compost Barn com diferentes sistemas de ventilação
FABIOLLA XAVIER ROCHA FERREIRA LIMA,ESCOLA DE AGRONOMIA,EM ANDAMENTO (Documentos Conferidos),PI07008-2023,09/05/2023,31/12/2030,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Tecnologia de Arquitetura e Urbanismo,"Inovação e Sustentabilidade em Materiais, Técnicas e Sistemas Construtivos"
LIE YAMANAKA,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI07010-2023,15/05/2023,14/05/2026,Engenharias,Engenharia de Produção,Engenharia do Produto,PROJECT MANAGEMENT EFFICIENCY AND SUSTAINABILITY
CRISTINA DA COSTA KREWER MASCIOLI,INSTITUTO DE CIENCIAS BIOLOGICAS,EM ANDAMENTO (Documentos Conferidos),PI07012-2023,08/05/2023,30/08/2028,Ciências Humanas,Educação,,Abordagens da educação em direitos humanos nos cursos de licenciatura em ciências biológicas de universidades públicas brasileiras
FLAVIO COLMATI JUNIOR,INSTITUTO DE QUÍMICA,EM ANDAMENTO,PI07014-2023,12/05/2023,11/05/2033,Ciências Exatas e da Terra,Química,Físico-Química,Produção de hidrogênio por eletrólise e o uso de hidrogênio para conversão eletroquímica de energia em células a combustível
SIMONE ALEXANDRE MARTINS CORBINIANO,FACULDADE DE EDUCAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI07019-2023,17/05/2023,17/05/2027,Ciências Humanas,Educação,Fundamentos da Educação,"Epistemologia, Interesse pedagógico e Integração de saberes"
