coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
MARLON JEISON SALOMON,FACULDADE DE HISTÓRIA,EM ANDAMENTO,PI06638-2023,01/02/2023,29/02/2028,Ciências Humanas,História,Teoria e Filosofia da História,O problema da temporalidade histórica no pensamento historiográfico do entreguerras
ANGELA TEIXEIRA DE MORAES,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06641-2023,01/05/2023,30/12/2024,Ciências Sociais Aplicadas,Comunicação,Jornalismo e Editoração,Jornalismo e estudos de recepção: o mapeamento das pesquisas em repositórios brasileiros de referência
FILIPE ALTOE TEMPORIM,FACULDADE DE CIÊNCIAS E TECNOLOGIA,EM ANDAMENTO (Documentos Conferidos),PI06643-2023,26/01/2023,26/01/2028,Ciências Exatas e da Terra,Geociências,Geologia,Magnetismo do Magmatismo Tardio da Faixa Brasília e Paleogeografia do Gondwana Ocidental
RITA TATIANA CARDOSO ERBS,UNID. ACAD. ESP./EDUCAÇÃO - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0665-2017,09/03/2017,08/03/2023,Ciências Humanas,Educação,Fundamentos da Educação,Os outros na narrativa: Uma proposta de análise para os materiais coletados nas pesquisas com histórias de vida e narrativas (auto)biográficas
DAVID HENRIQUES DA MATTA,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA,EM ANDAMENTO (Documentos Conferidos),PI06655-2023,01/02/2023,24/01/2028,Ciências Agrárias,Agronomia,Agrometeorologia,Métodos Estatísticos Aplicados à Agricultura 4.0
JULLIANO ROSA NASCIMENTO,INSTITUTO DE INFORMÁTICA,EM ANDAMENTO (Documentos Conferidos),PI06658-2023,30/01/2023,31/12/2025,Ciências Exatas e da Terra,Ciência da Computação,Teoria da Computação,"Atribuição de papéis em grafos: complexidade, algoritmos e caracterizações"
ALTAIR JOSE DOS SANTOS,FACULDADE DE EDUCAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06660-2023,10/04/2023,09/04/2027,Ciências Humanas,Psicologia,,A perversão na vida cotidiana
BONIEK GONTIJO VAZ,INSTITUTO DE QUÍMICA,EM ANDAMENTO (Documentos Conferidos),PI06663-2023,01/02/2023,31/01/2033,Ciências Exatas e da Terra,Química,Química Analítica,Petroleômica aplicada a industria do petróleo.
LEDA MENDES PINHEIRO GIMBO,FACULDADE DE EDUCAÇÃO,EM ANDAMENTO (Documentos Conferidos),PI06675-2023,04/04/2023,04/11/2025,Ciências Humanas,Psicologia,Tratamento e Prevenção Psicológica,VIOLÊNCIA DE GÊNERO E CLÍNICA GESTÁLTICA: IMPLICAÇÕES TEÓRICAS E POSSIBILIDADES INTERVENTIVAS 
TIAGO CAMARINHA LOPES,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E CIÊNCIAS ECONÔMICAS",EM ANDAMENTO (Documentos Conferidos),PI06677-2023,06/02/2023,06/02/2028,Ciências Sociais Aplicadas,Economia,,"Humanos, Tecnologia e Ciência Econômica: transdisciplinaridade investigativa em Economia Solidária e Economia Política"
